"faze_rozpoctu";"rok";"kap_kod";"kap_zkr";"platy_a_oppp";"oppp";"platy";"pocet_zamestnancu";"prumerny_plat";"poradi_prumerneho_platu";"platy_schv_schv";"platy_skut_rozp";"platy_skut_skut";"kategorie";"kap_nazev_cc";"kap_nazev";"kategorie_2014";"ceny_index";"ceny_inflace";"ceny_deflator_2003";"ceny_deflator_2024";"prumerna_mzda_cr";"prumerna_mzda_pha";"prumerny_plat_skut_skut";"mzda_prumer_skut_ke_skut";"plat_base";"prumerny_plat_real_od2024";"prumerny_plat_c2024";"prumerny_plat_c2024_mezirocne";"prumerny_plat_2003";"prumerny_plat_nomi_od2024";"prumerny_plat_vucinh";"prumerny_plat_vucinh_mezirocne";"kategorie_2014_cz";"date"
"UPRAV";"2003";"329";"MZe";"1490126000,00";"12833000,00";"1477293000,00";"6383";"19286,81654394490";NA;NA;NA;NA;"SS";"ministerstvo_zemedelstvi";"Ministerstvo zemědělství";"Statni sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"1477293000,00";"0,00000000000000000000";"37866,81188832793";NA;"37866,81188832793";"0,0000000000000000000";"1,173878061104376";NA;"Státní správa";"2003-01-01"
"UPRAV";"2003";"312";"MF";"498674000,00";"9855000,00";"488819000,00";"1516";"26869,99780123130";NA;NA;NA;NA;"UO";"ministerstvo_financi";"Ministerstvo financí                       ";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"488819000,00";"0,00000000000000000000";"52755,26678343654";NA;"52755,26678343654";"0,0000000000000000000";"1,244557563743923";NA;"Ministerstva";"2003-01-01"
"SCHV";"2003";"327";"MD";"131855000,00";"1603000,00";"130252000,00";"452";"24014,01179941000";NA;NA;NA;NA;"UO";"ministerstvo_dopravy";"Ministerstvo dopravy";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"130252000,00";"0,00000000000000000000";"47147,96065076024";NA;"47147,96065076024";"0,0000000000000000000";"1,112274747540991";NA;"Ministerstva";"2003-01-01"
"SCHV";"2003";"345";"ČSÚ";"466217000,00";"31019000,00";"435198000,00";"2032";"17847,68700787400";NA;NA;NA;NA;"UO";"cesky_statisticky_urad";"Český statistický úřad                               ";"Ostatni ustredni";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"435198000,00";"0,00000000000000000000";"35041,29388222432";NA;"35041,29388222432";"0,0000000000000000000";"0,826664520976100";NA;"Ostatní ústřední";"2003-01-01"
"SKUT";"2003";"313";"MPSV";"60066790,00";"2313050,00";"57753740,00";"298";"16150,37472035790";NA;NA;NA;NA;"PO";"ministerstvo_prace_a_socialnich_veci";"Ministerstvo práce a sociálních věcí";"Prispevkove organizace";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"57753740,00";"0,00000000000000000000";"31708,87222722092";NA;"31708,87222722092";"0,0000000000000000000";"0,982980810733895";NA;"Příspěvkové organizace";"2003-01-01"
"SKUT";"2003";"327";"MD";"127262830,00";"1988000,00";"125274830,00";"390";"26768,12606837610";NA;NA;NA;NA;"UO";"ministerstvo_dopravy";"Ministerstvo dopravy";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"125274830,00";"0,00000000000000000000";"52555,25670214726";NA;"52555,25670214726";"0,0000000000000000000";"1,239839095339328";NA;"Ministerstva";"2003-01-01"
"SKUT";"2003";"345";"ČSÚ";"484734120,00";"34595320,00";"450138800,00";"1896";"19784,58157524610";NA;NA;NA;NA;"UO";"cesky_statisticky_urad";"Český statistický úřad                               ";"Ostatni ustredni";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"450138800,00";"0,00000000000000000000";"38844,09991105181";NA;"38844,09991105181";"0,0000000000000000000";"0,916377099362950";NA;"Ostatní ústřední";"2003-01-01"
"UPRAV";"2003";"313";"MPSV";"55493000,00";"2212000,00";"53281000,00";"312";"14231,03632478630";NA;NA;NA;NA;"PO";"ministerstvo_prace_a_socialnich_veci";"Ministerstvo práce a sociálních věcí";"Prispevkove organizace";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"53281000,00";"0,00000000000000000000";"27940,53514527919";NA;"27940,53514527919";"0,0000000000000000000";"0,866161675276099";NA;"Příspěvkové organizace";"2003-01-01"
"UPRAV";"2003";"327";"MD";"127569000,00";"1990000,00";"125579000,00";"422";"24798,38072669830";NA;NA;NA;NA;"UO";"ministerstvo_dopravy";"Ministerstvo dopravy";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"125579000,00";"0,00000000000000000000";"48687,95303638805";NA;"48687,95303638805";"0,0000000000000000000";"1,148604943339430";NA;"Ministerstva";"2003-01-01"
"UPRAV";"2003";"345";"ČSÚ";"485223000,00";"36256000,00";"448967000,00";"1965";"19040,16115351990";NA;NA;NA;NA;"UO";"cesky_statisticky_urad";"Český statistický úřad                               ";"Ostatni ustredni";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"448967000,00";"0,00000000000000000000";"37382,54050796901";NA;"37382,54050796901";"0,0000000000000000000";"0,881897228046313";NA;"Ostatní ústřední";"2003-01-01"
